Sample	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_avg_gc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_1_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_5_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_10_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_30_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_50_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_median_coverage	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mean_coverage	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_general_error_rate	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_percentage_aligned	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mapped_reads	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_total_reads	featureCounts_mqc_generalstats_featurecounts_Assigned	featureCounts_mqc_generalstats_featurecounts_percent_assigned	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR15502584															35.653347678545956	48.0	75.0	75	0.0	11.48078
SRR15502584_aligned								3.477	0.04	95.73083711533485	12.336540999999999	12.886695	8.558596	66.41420472821						
SRR15502584_aligned_QC	48.93487683504704	4.75609171651084	1.1268450631190852	0.6323681924718535	0.17700030282464677	0.08749744725269838	0													
SRR15502595															44.97841193181795	48.0	75.0	75	10.0	11.48078
SRR15502595_aligned								3.323	0.02	98.27996505009708	12.712598	12.935086	8.828743	68.25422730084671						
SRR15502595_aligned_QC	48.86095567477779	4.713626997419647	1.1306679551989363	0.6391034203830763	0.18669170463475523	0.09347749480857857	0													
SRR15502832															36.82217352379027	49.0	75.0	75	0.0	13.329234999999999
SRR15502832_aligned								4.2099	0.03	95.6259610243477	14.171885999999999	14.820124	10.001932	67.48885501902683						
SRR15502832_aligned_QC	49.305818187633285	5.198114873221531	1.2536464168258543	0.7219773077074498	0.2149823229352202	0.1070109953435025	0													
SRR15502843															45.37030399255371	49.0	75.0	75	10.0	13.329234999999999
SRR15502843_aligned								3.8278	0.02	98.27739894045094	14.61506	14.871232	10.327645	69.4471379371931						
SRR15502843_aligned_QC	49.222339895681145	5.177271191659144	1.2627576606655526	0.7312092895023243	0.2251621013436195	0.11388726747194414	0													
SRR15502854															31.632706160231777	48.0	75.0	75	0.0	9.486963
SRR15502854_aligned								2.9269	0.04	95.25085690234211	10.077233	10.579677	7.027938	66.42866318130505						
SRR15502854_aligned_QC	48.82652216243101	4.45239756587576	1.0330914544621934	0.5496363023661666	0.1344260985263771	0.06359111220436181	0													
SRR15502865															41.05742542735694	48.0	75.0	75	10.0	9.486963
SRR15502865_aligned								2.6832	0.02	98.25077265352371	10.439852	10.62572	7.279916	68.5122137605734						
SRR15502865_aligned_QC	48.795081925347816	4.433652320237431	1.0411486053708163	0.5614352669220813	0.1441349475941249	0.06923885547923746	0													
SRR15502965															35.05533775588596	49.0	75.0	75	0.0	9.196766
SRR15502965_aligned								2.9544	0.03	96.07098357135729	9.897006	10.301764	7.0257499999999995	68.19948505906368						
SRR15502965_aligned_QC	49.161977673857315	3.985817394037712	0.9455951801343783	0.510309890415897	0.1367142550503115	0.06634268401891397	0													
SRR15502976															48.20157230497498	49.0	75.0	75	10.0	9.196766
SRR15502976_aligned								2.739	0.02	98.38798840933117	10.148233	10.314504	7.227958999999999	70.075681777815						
SRR15502976_aligned_QC	49.25479233961278	3.8959300023735493	0.93069844765382	0.5080671480772885	0.14460034219548323	0.07191132817197098	0													
SRR15502988															37.18706026840817	48.0	75.0	75	0.0	9.154297999999999
SRR15502988_aligned								2.4436	0.04	95.81234579217941	10.034312	10.47288	6.827913	65.19613516052891						
SRR15502988_aligned_QC	48.655740013497805	3.78792542969217	0.8911034725591737	0.4762644261371486	0.12826303803479697	0.06427679676036799	0													
SRR15502999															52.014532613309186	49.0	75.0	75	20.0	9.154297999999999
SRR15502999_aligned								2.688	0.02	98.26519202516526	10.325218	10.507503	7.041339	67.01248622056067						
SRR15502999_aligned_QC	48.813409286927985	3.6618115565826344	0.8650453701584908	0.4692422714763445	0.13721414097401988	0.07023140650784125	0													
SRR15503143															37.66124205634257	49.0	75.0	75	0.0	11.997486
SRR15503143_aligned								4.0495	0.03	95.90270989237973	12.815482	13.363002999999999	9.254299	69.25313868447085						
SRR15503143_aligned_QC	49.300373341988134	4.470818094590924	1.1447885412918626	0.6642434891391487	0.1963304714407249	0.0978821942844572	0													
SRR15503154															46.347548675365616	49.0	75.0	75	10.0	11.997486
SRR15503154_aligned								3.7177	0.02	98.20923384566102	13.152322999999999	13.392145	9.52481	71.12236314645637						
SRR15503154_aligned_QC	49.23069352092117	4.435141641608022	1.1472642924893224	0.669387644446153	0.20476988589960107	0.10360639760016402	0													
